way_id,name,operator,gauge,electrified,maxspeed,usage,service,highspeed,line,ref
96549114,FFCC Barcelona - Tarragona via Vilanova i la Geltrú,Adif,1668,contact_line,90,main,,,,R2;R2Nord;R2Sud;R13;R14;R15;R16
96549115,FFCC Barcelona - Tarragona via Vilanova i la Geltrú,Adif,1668,contact_line,90,main,,,,R2;R2Nord;R2Sud;R13;R14;R15;R16
96807518,FFCC Barcelona-Maçanet via Mataró,Adif,1668,contact_line,75,main,,,,R1;RG1
96807543,FFCC Barcelona-Maçanet via Mataró,Adif,1668,contact_line,75,main,,,,R1;RG1
96883831,FFCC Cerbère - Barcelona,Adif,1668,contact_line,140,main,,,,R2Nord;R11
96883848,FFCC Cerbère - Barcelona,Adif,1668,contact_line,130,main,,,,R2Nord;R11
96883861,FFCC Barcelona-Vilafranca-Sant Vicenç de Calders,Adif,1668,contact_line,110,main,,,,R4
96883869,FFCC Cerbère - Barcelona,Adif,1668,contact_line,130,main,,,,R2Nord;R11
96883875,FFCC Cerbère - Barcelona,Adif,1668,contact_line,130,main,,,,R2Nord;R11
96883885,FFCC Barcelona-Vilafranca-Sant Vicenç de Calders,Adif,1668,contact_line,110,main,,,,R4
97696670,FFCC Barcelona-Vilafranca-Sant Vicenç de Calders,Adif,1668,contact_line,130,main,,,,R1;R4
97696672,FFCC Barcelona-Vilafranca-Sant Vicenç de Calders,Adif,1668,contact_line,130,main,,,,R1;R4
98232180,FFCC Castellbisbal - Mollet,Adif,1435;1668,contact_line,120,main,,,,R8
98232188,Línia Castellbisbal/El Papiol - Mollet,Adif,1435;1668,contact_line,120,main,,,,246
98232206,Línia Castellbisbal/El Papiol - Mollet,Adif,1435;1668,contact_line,120,main,,,,246
98232232,Línia Castellbisbal/El Papiol - Mollet,Adif,1435;1668,contact_line,120,main,,,,246
99589681,FFCC Cerbère - Barcelona,Adif,1668,contact_line,140,main,,,,270
100553646,FFCC Cerbère - Barcelona,Adif,1668,contact_line,140,main,,,,270
100553667,FFCC Cerbère - Barcelona,Adif,1435;1668,contact_line,140,main,,,,270
100649344,FFCC Cerbère - Barcelona,Adif,1668,contact_line,140,main,,,,R2Nord;R11
102017685,FFCC Cerbère - Barcelona,Adif,1435;1668,contact_line,140,main,,,,270
102017698,FFCC Cerbère - Barcelona,Adif,1435;1668,contact_line,135,main,,,,270
105225584,FFCC Cerbère - Barcelona,Adif,1668,contact_line,140,main,,,,270
105225594,FFCC Cerbère - Barcelona,Adif,1668,contact_line,140,main,,,,270
105225604,FFCC Cerbère - Barcelona,Adif,1668,contact_line,140,main,,,,270
105225610,FFCC Cerbère - Barcelona,Adif,1668,contact_line,140,main,,,,270
106939352,FFCC Cerbère - Barcelona,Adif,1668,contact_line,150,main,,,,R2Nord;R11
106939353,FFCC Cerbère - Barcelona,Adif,1668,contact_line,150,main,,,,R2Nord;R11
107320391,FFCC Castellbisbal - Mollet,Adif,1435;1668,contact_line,120,main,,,,R8
107320405,FFCC Castellbisbal - Mollet,Adif,1435;1668,contact_line,120,main,,,,R8
107320413,FFCC Castellbisbal - Mollet,Adif,1435;1668,contact_line,120,main,,,,R8
108777837,FFCC Cerbère - Barcelona,Adif,1668,contact_line,140,main,,,,270
108777847,FFCC Cerbère - Barcelona,Adif,1668,contact_line,140,main,,,,270
109597370,FFCC Barcelona-Maçanet via Mataró,Adif,1668,contact_line,80,main,,,,R1;RG1
109597373,FFCC Barcelona-Maçanet via Mataró,Adif,1668,contact_line,80,main,,,,R1;RG1
109731171,FFCC Cerbère - Barcelona,Adif,1435;1668,contact_line,140,main,,,,270
109731180,FFCC Cerbère - Barcelona,Adif,1435;1668,contact_line,140,main,,,,270
